Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Cybernetic Horizon,,Common,Divine Serpent Geh,,Monster,DARK,Reptile / Effect,12,? / 0,,,,,,
Rising Rampage,,Common,DMZ Dragon,,Monster,DARK,Dragon / Effect,4,0 / 2000,,,,,,
Crossroads of Chaos,,Common,Pursuit Chaser,,Monster,EARTH,Machine / Effect,3,1400 / 600,,,,,,
Chaos Impact,,Common,Bye Bye Damage,,Trap,,,,,,,,,,
Extreme Force,,Common,Flame Administrator,,Monster,FIRE,Cyberse / Link / Effect,,,,,,,,
Raging Tempest,,Ultra Rare,Crystron Quariongandrax,,Monster,WATER,Machine / Synchro / Effect,9,3000 / 3000,,,,,,
Savage Strike,,Common,Loss Time,,Trap,,,,,,,,,,
Eternity Code,,Common,Proxy F Magician,,Monster,FIRE,Cyberse / Link / Effect,,,,,,,,
The Lost Millennium,,Rare,Hero Signal,,Trap,,,,,,,,,,
Soul Fusion,,Rare,Salamangreat Heatleo,,Monster,FIRE,Cyberse / Link / Effect,,,,,,,,
The Lost Millennium,,Rare,D.D. Survivor,,Monster,DARK,Warrior / Effect,4,1800 / 200,,,,,,
Labyrinth of Nightmare,,Common,Lady Assailant of Flames,,Monster,FIRE,Pyro / Flip / Effect,4,1500 / 1000,,,,,,
Burst of Destiny,,Common,Ursarctic Drytron,,Spell,,,,,,,,,,
Soul Fusion,,Common,Agave Dragon,,Monster,EARTH,Wyrm / Link / Effect,,,,,,,,
Invasion of Chaos,,Rare,Fuhma Shuriken,,Spell,,,,,,,,,,
Dawn of Majesty,,Secret Rare,Aluber the Jester of Despia,,Monster,DARK,Fairy / Effect,4,1800 / 0,,,,,,
Extreme Victory,,Common,Fortissimo the Mobile Fortress,,Spell,,,,,,,,,,
Rise of the Duelist,,Secret Rare,Nadir Servant,,Spell,,,,,,,,,,
Galactic Overlord,,Common,Sealing Ceremony of Raiton,,Trap,,,,,,,,,,
Ignition Assault,,Super Rare,Time Thief Perpetua,,Monster,DARK,Psychic / Xyz / Effect,,1900 / 2500,4,,,,,
Raging Tempest,,Common,Speedroid Horse Stilts,,Monster,WIND,Machine / Effect,4,1100 / 1100,,,,,,
Dimension of Chaos,,Super Rare,Kozmo DOG Fighter,,Monster,DARK,Machine / Effect,6,2000 / 2400,,,,,,
Soul Fusion,,Secret Rare,Danger! Thunderbird!,,Monster,DARK,Winged Beast / Effect,8,2800 / 2400,,,,,,
Maximum Gold,,Rare,There Can Be Only One,,Trap,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Tour Guide From the Underworld,,Monster,DARK,Fiend / Effect,3,1000 / 600,,,,,,
Raging Tempest,,Rare,Lost Wind,,Trap,,,,,,,,,,
Flames of Destruction,,Common,Three Trolling Trolls,,Monster,WATER,Beast-Warrior / Tuner / Effect,3,1000 / 1300,,,,,,
Cosmo Blazer,,Rare,Infernity Archer,,Monster,DARK,Fiend / Effect,6,2000 / 1000,,,,,,
Starstrike Blast,,Rare,Karakuri Showdown Castle,,Spell,,,,,,,,,,
The Lost Millennium,,Rare,Criosphinx,,Monster,EARTH,Rock / Effect,6,1200 / 2400,,,,,,
Blazing Vortex,,Common,Sprind the Irondash Dragon,,Monster,DARK,Machine / Fusion / Effect,8,2500 / 2000,,,,,,
Duelist Alliance,,Rare,Mozarta the Melodious Maestra,,Monster,LIGHT,Fairy / Effect,8,2600 / 2000,,,,,,
The New Challengers,,Super Rare,Lancephorhynchus,,Monster,WIND,Dinosaur / Pendulum / Normal,6,2500 / 800,,,,,,
Abyss Rising,,Common,Abyss Warrior,,Monster,WATER,Aqua / Effect,4,1800 / 1300,,,,,,
Shadow of Infinity,,Common,End of the World,,Spell,,,,,,,,,,
Extreme Victory,,Common,Runaway Karakuri,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Code Generator,,Monster,EARTH,Cyberse / Effect,3,1300 / 500,,,,,,
Breakers of Shadow,,Common,Superheavy Samurai General Jade,,Monster,EARTH,Machine / Pendulum / Effect,8,1800 / 2800,,,,,,
Tactical Evolution,,Secret Rare,Vennominaga the Deity of Poisonous Snakes,,Monster,DARK,Reptile / Effect,10,0 / 0,,,,,,
Clash of Rebellions,,Super Rare,Xiangke Magician,,Monster,DARK,Spellcaster / Pendulum / Effect,7,2500 / 500,,,,,,
Legacy of the Valiant,,Common,Snapdragon,,Monster,EARTH,Plant / Effect,2,300 / 100,,,,,,
Duelist Alliance,,Rare,Face-Off,,Trap,,,,,,,,,,
Burst of Destiny,,Ultra Rare,Swordsoul Supreme Sovereign - Chengying,,Monster,WATER,Wyrm / Synchro / Effect,10,3000 / 3000,,,,,,
Primal Origin,,Secret Rare,"Orea, the Sylvan High Arbiter",,Monster,DARK,Plant / Xyz / Effect,,2800 / 2500,7,,,,,
Flaming Eternity,,Rare,Spell Absorption,,Spell,,,,,,,,,,
Extreme Force,,Rare,World Legacy Key,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Kozmo Delta Shuttle,,Monster,DARK,Machine / Effect,5,2000 / 2000,,,,,,
Burst of Destiny,,Super Rare,Magikey Fiend - Transfurlmine,,Monster,FIRE,Thunder / Synchro / Effect,8,2800 / 2800,,,,,,
Strike of Neos,,Common,Umbral Soul,,Monster,DARK,Reptile / Effect,7,2000 / 1500,,,,,,
Enemy of Justice,,Super Rare,Majestic Mech - Goryu,,Monster,LIGHT,Fairy / Effect,8,2900 / 1800,,,,,,
The Lost Millennium,,Ultra Rare,Ancient Gear Golem,,Monster,EARTH,Machine / Effect,8,3000 / 3000,,,,,,
Return of the Duelist,,Common,Overlay Regen,,Spell,,,,,,,,,,
Cybernetic Horizon,,Super Rare,Wee Witch's Apprentice,,Monster,DARK,Spellcaster / Link / Effect,,,,,,,,
Crossroads of Chaos,,Common,Card Rotator,,Spell,,,,,,,,,,
Return of the Duelist,,Super Rare,Alchemic Magician,,Monster,DARK,Spellcaster / Xyz / Effect,,1500 / 1500,4,,,,,
Duelist Alliance,,Common,Battleguard King,,Monster,EARTH,Warrior / Effect,8,3000 / 1100,,,,,,
Labyrinth of Nightmare,,Ultra Rare,Torrential Tribute,,Trap,,,,,,,,,,
Battle of Chaos,,Super Rare,Dinomorphia Reversion,,Trap,,,,,,,,,,
Dawn of Majesty,,Ultra Rare,Giant Beetrooper Invincible Atlas,,Monster,EARTH,Insect / Link / Effect,,,,,,,,
Labyrinth of Nightmare,,Super Rare,Jar of Greed,,Trap,,,,,,,,,,
Rise of Destiny,,Common,Creeping Doom Manta,,Monster,WATER,Fish / Effect,3,1300 / 1200,,,,,,
Lightning Overdrive,,Common,Starry Knight Ciel,,Monster,LIGHT,Fairy / Effect,4,1700 / 800,,,,,,
Shadow Specters,,Secret Rare,Mistake,,Trap,,,,,,,,,,
Extreme Force,,Common,Lockout Gardna,,Monster,EARTH,Cyberse / Effect,3,1000 / 1000,,,,,,
The Duelist Genesis,,Common,Medium Piece Golem,,Monster,EARTH,Rock / Effect,4,1600 / 0,,,,,,
Breakers of Shadow,,Secret Rare,"Buster Blader, the Dragon Destroyer Swordsman",,Monster,LIGHT,Warrior / Fusion / Effect,8,2800 / 2500,,,,,,
Legendary Duelists: Synchro Storm,,Common,Unknown Synchron,,Monster,DARK,Machine / Tuner / Effect,1,0 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Common,Fireyarou,,Monster,FIRE,Pyro,4,1300 / 1000,,,,,,
Maximum Gold,,Premium Gold Rare,Parlor Dragonmaid,,Monster,WIND,Dragon / Effect,3,500 / 1700,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Motor Shell,,Monster,DARK,Machine / Effect,4,1300 / 1800,,,,,,
Stardust Overdrive,,Common,Gemini Booster,,Trap,,,,,,,,,,
Labyrinth of Nightmare,,Short Print,Humanoid Worm Drake,,Monster,WATER,Aqua / Fusion,7,2200 / 2000,,,,,,
Invasion: Vengeance,,Super Rare,Torque Tune Gear,,Monster,LIGHT,Machine / Union / Tuner / Effect,1,0 / 0,,,,,,
Dimension Force,,Super Rare,Libromancer Mystigirl,,Monster,LIGHT,Fairy / Ritual / Effect,4,1400 / 2100,,,,,,
Battle of Chaos,,Secret Rare,Blue-Eyes Jet Dragon,,Monster,LIGHT,Dragon / Effect,8,3000 / 0,,,,,,
Absolute Powerforce,,Common,Bicular,,Monster,EARTH,Machine / Effect,2,200 / 200,,,,,,
Dark Crisis,,Rare,Fear from the Dark,,Monster,DARK,Zombie / Effect,4,1700 / 1500,,,,,,
Blazing Vortex,,Super Rare,Ancient Warriors - Rebellious Lu Feng,,Monster,DARK,Beast-Warrior / Effect,8,2800 / 2200,,,,,,
Labyrinth of Nightmare,,Common,Lightning Conger,,Monster,WATER,Thunder,3,350 / 750,,,,,,
Extreme Force,,Common,Mekk-Knight Green Horizon,,Monster,LIGHT,Psychic / Effect,6,2100 / 1600,,,,,,
Abyss Rising,,Common,Fishborg Launcher,,Monster,WATER,Fish / Tuner / Effect,1,200 / 100,,,,,,
Breakers of Shadow,,Secret Rare,Kozmojo,,Trap,,,,,,,,,,
Labyrinth of Nightmare,,Common,Amazoness Archer,Amazon Archer,Monster,EARTH,Warrior / Effect,4,1400 / 1000,,,,,,
Galactic Overlord,,Super Rare,Hieratic Dragon of Gebeb,,Monster,LIGHT,Dragon / Effect,4,1800 / 400,,,,,,
Shining Victories,,Ultra Rare,Lunalight Panther Dancer,,Monster,DARK,Beast-Warrior / Fusion / Effect,8,2800 / 2500,,,,,,
The Duelist Genesis,,Super Rare,Broken Blocker,,Trap,,,,,,,,,,
Absolute Powerforce,,Super Rare,Iron Core Specimen Lab,,Spell,,,,,,,,,,
Dark Neostorm,,Common,Crusadia Testament,,Spell,,,,,,,,,,
Duelist Revolution,,Common,Barrier Wave,,Trap,,,,,,,,,,
Phantom Darkness,,Rare,Offering to the Snake Deity,,Trap,,,,,,,,,,
Raging Tempest,,Common,Shinobird Crane,,Monster,WIND,Winged Beast / Spirit / Effect,4,1500 / 1500,,,,,,
Force of the Breaker,,Ultra Rare,Rare Value,,Spell,,,,,,,,,,
Shining Victories,,Super Rare,Red-Eyes Toon Dragon,,Monster,DARK,Dragon / Toon / Effect,7,2400 / 2000,,,,,,
Cosmo Blazer,,Rare,ZW - Lightning Blade,,Monster,LIGHT,Beast / Effect,5,1200 / 2000,,,,,,
Clash of Rebellions,,Ultra Rare,Aromage Rosemary,,Monster,WATER,Plant / Effect,4,1800 / 700,,,,,,
Burst of Destiny,,Common,Fengli the Soldrapom,,Monster,FIRE,Plant / Tuner / Effect,1,800 / 0,,,,,,
Invasion of Chaos,,Rare,Destruction Ring,,Trap,,,,,,,,,,
Tactical Evolution,,Common,Gravitic Orb,,Monster,DARK,Fiend / Effect,3,1100 / 700,,,,,,
Ancient Prophecy,,Ultra Rare,Earthbound Immortal Chacu Challhua,,Monster,DARK,Fish / Effect,10,2900 / 2400,,,,,,
Pharaonic Guardian,,Rare,Moisture Creature,,Monster,LIGHT,Fairy / Effect,9,2800 / 2900,,,,,,
Pharaoh's Servant,,Rare,Nobleman of Extermination,,Spell,,,,,,,,,,
Gladiator's Assault,,Common,Cloudian - Smoke Ball,,Monster,WATER,Fairy,1,200 / 600,,,,,,
Secrets of Eternity,,Common,Infernoid Piaty,,Monster,FIRE,Fiend / Effect,5,2200 / 0,,,,,,
Starstrike Blast,,Rare,Koa'ki Meiru Wall,,Monster,EARTH,Rock / Effect,4,1900 / 1200,,,,,,
Elemental Energy,,Common,Chthonian Polymer,,Trap,,,,,,,,,,
Magician's Force,,Super Rare,Amazoness Archers,Amazon Archers,Trap,,,,,,,,,,
Battle of Chaos,,Common,Ghostrick Festival,,Monster,DARK,Spellcaster / Link / Effect,,,,,,,,
Blazing Vortex,,Common,Armed Dragon Lightning,,Spell,,,,,,,,,,
Raging Tempest,,Rare,Spiritual Beast Tamer Winda,,Monster,WIND,Psychic / Effect,4,1600 / 1800,,,,,,
Extreme Force,,Ultra Rare,"Isolde, Two Tales of the Noble Knights",,Monster,LIGHT,Warrior / Link / Effect,,,,,,,,
Force of the Breaker,,Common,Crystal Beast Amethyst Cat,,Monster,EARTH,Beast / Effect,3,1200 / 400,,,,,,
Duelist Alliance,,Ultra Rare,El Shaddoll Construct,,Monster,LIGHT,Fairy / Fusion / Effect,8,2800 / 2500,,,,,,
Savage Strike,,Ultra Rare,Danger! Ogopogo!,,Monster,DARK,Sea Serpent / Effect,8,1200 / 3000,,,,,,
Cybernetic Horizon,,Common,Crusadia Reclusia,,Monster,FIRE,Spellcaster / Effect,3,400 / 2000,,,,,,
Return of the Duelist,,Common,Stonehenge Methods,,Trap,,,,,,,,,,
Judgment of the Light,,Rare,Mecha Phantom Beast Warbluran,,Monster,WIND,Machine / Tuner / Effect,1,300 / 300,,,,,,
Lord of the Tachyon Galaxy,,Common,Mecha Phantom Beast Blackfalcon,,Monster,WIND,Machine / Effect,4,1200 / 1700,,,,,,
Extreme Victory,,Secret Rare,Scrap Orthros,,Monster,EARTH,Beast / Tuner / Effect,4,1700 / 1100,,,,,,
Shining Victories,,Secret Rare,Amorphage Sloth,,Monster,EARTH,Dragon / Pendulum / Effect,6,2250 / 0,,,,,,
Extreme Victory,,Common,Clock Resonator,,Monster,EARTH,Fiend / Tuner / Effect,3,1200 / 600,,,,,,
Order of Chaos,,Common,Inzektor Ant,,Monster,DARK,Insect / Effect,3,200 / 600,,,,,,
Ancient Sanctuary,,Common,Metal Armored Bug,,Monster,EARTH,Insect / Normal,8,2800 / 1500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Inzektor Sword - Zektkaliber,,Spell,,,,,,,,,,
Burst of Destiny,,Common,Laundry Trap,,Trap,,,,,,,,,,
Rise of the Duelist,,Super Rare,Rampaging Smashtank Rhynosaber,,Monster,FIRE,Machine / Synchro / Effect,7,2400 / 2100,,,,,,
Shadow of Infinity,,Rare,Phantasmal Martyrs,,Spell,,,,,,,,,,
Crossed Souls,,Common,Statue of Anguish Pattern,,Trap,,,,,,,,,,
Order of Chaos,,Rare,Evoltile Casinerio,,Monster,FIRE,Reptile / Effect,3,1600 / 400,,,,,,
Chaos Impact,,Super Rare,"Phantasos, the Dream Mirror Foe",,Monster,DARK,Beast-Warrior / Effect,4,1900 / 900,,,,,,
Eternity Code,,Super Rare,Gatchiri @Ignister,,Monster,EARTH,Cyberse / Effect,8,0 / 3000,,,,,,
Blazing Vortex,,Super Rare,Tri-Brigade Kitt,,Monster,FIRE,Beast / Effect,2,700 / 1000,,,,,,
Flames of Destruction,,Common,Watch Cat,,Monster,EARTH,Beast / Effect,1,0 / 1800,,,,,,
Extreme Force,,Rare,Mythical Bestiamorph,,Trap,,,,,,,,,,
Cybernetic Horizon,,Super Rare,Crusadia Maximus,,Monster,LIGHT,Psychic / Effect,4,1600 / 1000,,,,,,
Phantom Darkness,,Secret Rare,Darklord Zerato,,Monster,DARK,Fairy / Effect,8,2800 / 2300,,,,,,
Primal Origin,,Common,Ghostrick Doll,,Monster,DARK,Spellcaster / Effect,2,300 / 1200,,,,,,
Labyrinth of Nightmare,,Common,The Unfriendly Amazon,,Monster,EARTH,Warrior / Effect,4,2000 / 1000,,,,,,
Spell Ruler,,Rare,Hyozanryu,,Monster,LIGHT,Dragon / Normal,7,2100 / 2800,,,,,,
Legacy of the Valiant,,Rare,Number 39: Utopia Roots,,Monster,LIGHT,Warrior / Xyz / Effect,,500 / 100,1,,,,,
Order of Chaos,,Common,Zenmailstrom,,Trap,,,,,,,,,,
Crossed Souls,,Secret Rare,El Shaddoll Anoyatyllis,,Monster,WATER,Fiend / Fusion / Effect,9,2700 / 2000,,,,,,
Ancient Prophecy,,Common,Sunny Pixie,,Monster,LIGHT,Spellcaster / Tuner,1,300 / 400,,,,,,
Circuit Break,,Super Rare,World Legacy Trap Globe,,Trap,,,,,,,,,,
Cybernetic Revolution,,Rare,D.D.M. - Different Dimension Master,,Monster,LIGHT,Spellcaster / Effect,5,1700 / 1500,,,,,,
Duelist Revolution,,Secret Rare,Stygian Street Patrol,,Monster,DARK,Fiend / Effect,4,1600 / 1200,,,,,,
Judgment of the Light,,Secret Rare,Coach Soldier Wolfbark,,Monster,FIRE,Beast-Warrior / Effect,4,1600 / 1200,,,,,,
Dark Crisis,,Common,Vilepawn Archfiend,,Monster,EARTH,Fiend / Effect,2,1200 / 200,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,The Agent of Entropy - Uranus,,Monster,DARK,Fairy / Tuner / Effect,5,2200 / 1200,,,,,,
Circuit Break,,Common,Amazoness Empress,,Monster,EARTH,Warrior / Fusion / Effect,8,2800 / 2400,,,,,,
Extreme Victory,,Short Print,Localized Tornado,,Trap,,,,,,,,,,
Maximum Crisis ,,Common,Magician's Left Hand,,Spell,,,,,,,,,,
Ignition Assault,,Rare,Fiendish Portrait,,Trap,,,,,,,,,,
Starstrike Blast,,Common,Scrap Searcher,,Monster,EARTH,Winged Beast / Effect,1,100 / 300,,,,,,
Tactical Evolution,,Secret Rare,Rainbow Dragon,,Monster,LIGHT,Dragon / Effect,10,4000 / 0,,,,,,
Shadow of Infinity,,Common,Tenkabito Shien,,Monster,FIRE,Pyro / Effect,4,1500 / 1000,,,,,,
Phantom Darkness,,Common,Imprisoned Queen Archfiend,,Monster,DARK,Fiend / Effect,8,2600 / 1700,,,,,,
Blazing Vortex,,Common,S-Force Specimen,,Trap,,,,,,,,,,
Duelist Revolution,,Rare,Reanimation Wave,,Trap,,,,,,,,,,
Starstrike Blast,,Secret Rare,The Fabled Rubyruda,,Monster,LIGHT,Beast / Tuner,4,1100 / 800,,,,,,
Order of Chaos,,Ultra Rare,Twin Photon Lizard,,Monster,LIGHT,Dragon / Fusion / Effect,6,2400 / 1000,,,,,,
Stardust Overdrive,,Rare,Fortune Lady Water,,Monster,WATER,Spellcaster / Effect,4,? / ?,,,,,,
Flames of Destruction,,Ultra Rare,Trickstar Bella Madonna,,Monster,LIGHT,Fairy / Link / Effect,,,,,,,,
Eternity Code,,Common,Link Burst,,Spell,,,,,,,,,,
Dawn of Majesty,,Common,Alien Stealthbuster,,Monster,LIGHT,Reptile / Effect,4,1700 / 1500,,,,,,
Raging Battle,,Common,Lava Dragon,,Monster,FIRE,Dragon / Effect,4,1600 / 1200,,,,,,
Battle of Chaos,,Ultra Rare,Dark Magician,,Monster,DARK,Spellcaster / Normal,7,2500 / 2100,,,,,,
Maximum Gold,,Premium Gold Rare,Sky Striker Ace - Kagari,,Monster,FIRE,Machine / Link / Effect,,,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Constellar Sombre,,Monster,LIGHT,Fairy / Effect,4,1550 / 1600,,,,,,
Return of the Duelist,,Common,Madolche Lesson,,Trap,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Common,Lyrilusc - Cobalt Sparrow,,Monster,WIND,Winged Beast / Effect,1,0 / 100,,,,,,
Cyberdark Impact,,Rare,Vanity's Ruler,,Monster,LIGHT,Fairy / Effect,8,2500 / 1600,,,,,,
The Lost Millennium,,Common,Impenetrable Formation,,Spell,,,,,,,,,,
Photon Shockwave,,Short Print,Rodenut,,Monster,EARTH,Beast / Effect,1,100 / 100,,,,,,
Secrets of Eternity,,Common,Superheavy Samurai Soulpiercer,,Monster,EARTH,Machine / Effect,4,1200 / 0,,,,,,
Starstrike Blast,,Rare,Wattcastle,,Spell,,,,,,,,,,
Invasion of Chaos,,Ultra Rare,Black Tyranno,,Monster,EARTH,Dinosaur / Effect,7,2600 / 1800,,,,,,
Extreme Force,,Super Rare,Gem-Knight Phantom Quartz,,Monster,EARTH,Rock / Link / Effect,,,,,,,,
Phantom Rage,,Secret Rare,Tri-Brigade Airborne Assault,,Spell,,,,,,,,,,
Secrets of Eternity,,Common,Pendulum Shift,,Spell,,,,,,,,,,
Dimension Force,,Starlight Rare,Ghost Belle & Haunted Mansion,,Monster,EARTH,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Elemental Energy,,Common,Gateway to Dark World,,Spell,,,,,,,,,,
Galactic Overlord,,Common,Doom Donuts,,Monster,DARK,Fiend / Effect,1,0 / 0,,,,,,
The Duelist Genesis,,Common,Telekinetic Shocker,,Monster,EARTH,Psychic / Effect,4,1700 / 700,,,,,,
Chaos Impact,,Secret Rare,Unchained Soul of Disaster,,Monster,DARK,Fiend / Effect,8,0 / 3000,,,,,,
Strike of Neos,,Secret Rare,Aegis of Gaia,,Trap,,,,,,,,,,
Lord of the Tachyon Galaxy,,Common,Mecha Phantom Beast Stealthray,,Monster,WIND,Machine / Effect,3,100 / 2100,,,,,,
Absolute Powerforce,,Ultra Rare,Majestic Red Dragon,,Monster,DARK,Dragon / Synchro / Effect,10,4000 / 3000,,,,,,
Crossed Souls,,Super Rare,"Chaofeng, Phantom of the Yang Zing",,Monster,LIGHT,Wyrm / Synchro / Effect,9,2800 / 2200,,,,,,
Dark Neostorm,,Common,Magical Musket - Crooked Crown,,Trap,,,,,,,,,,
Lightning Overdrive,,Super Rare,Branded in White,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Rare,Altitude Knight,,Monster,WIND,Warrior / Effect,4,1400 / 1200,,,,,,
Rise of the Duelist,,Common,Melffy Rabby,,Monster,EARTH,Beast / Normal,2,0 / 2100,,,,,,
Storm of Ragnarok,,Common,Six Strike - Triple Impact,,Spell,,,,,,,,,,
Abyss Rising,,Common,Ape Magician,,Monster,DARK,Beast / Effect,3,800 / 1200,,,,,,
Ignition Assault,,Common,Obsessive Uvualoop,,Monster,EARTH,Fiend / Tuner / Effect,4,1200 / 1800,,,,,,
Battle of Chaos,,Super Rare,Icejade Creation Kingfisher,,Monster,WATER,Aqua / Effect,9,2500 / 2500,,,,,,
Maximum Gold,,Premium Gold Rare,Ghost Belle & Haunted Mansion,,Monster,EARTH,Zombie / Tuner / Effect,3,0 / 1800,,,,,,
Dimension Force,,Common,Vivid Tail,,Trap,,,,,,,,,,
Return of the Duelist,,Common,Strength of Prophecy,,Monster,FIRE,Spellcaster / Effect,4,1500 / 1400,,,,,,
The New Challengers,,Short Print,Scrounging Goblin,,Monster,EARTH,Fiend / Effect,4,1000 / 2000,,,,,,
Pharaonic Guardian,,Common,Gravekeeper's Curse,,Monster,DARK,Spellcaster / Effect,3,800 / 800,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Decode Talker Heatsoul,,Monster,FIRE,Cyberse / Link / Effect,,,,,,,,
Blazing Vortex,,Secret Rare,Armed Dragon Flash,,Spell,,,,,,,,,,
Judgment of the Light,,Common,Schwarzschild Limit Dragon,,Monster,DARK,Dragon / Effect,8,2000 / 0,,,,,,
The Dark Illusion,,Ultra Rare,Tyrant Red Dragon Archfiend,,Monster,DARK,Dragon / Synchro / Effect,10,3500 / 3000,,,,,,
Storm of Ragnarok,,Common,Ljosalf of the Nordic Alfar,,Monster,LIGHT,Spellcaster / Effect,4,1400 / 1200,,,,,,
Code of the Duelist,,Common,F.A. Circuit Grand Prix,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Metal Dragon,,Monster,WIND,Machine / Fusion,6,1850 / 1700,,,,,,
Circuit Break,,Secret Rare,Evenly Matched,,Trap,,,,,,,,,,
Shadow of Infinity,,Common,Machine King Prototype,,Monster,EARTH,Machine / Effect,3,1600 / 1500,,,,,,
Clash of Rebellions,,Super Rare,Xiangsheng Magician,,Monster,LIGHT,Spellcaster / Pendulum / Effect,4,500 / 1500,,,,,,
Raging Battle,,Common,Evil Thorn,,Monster,DARK,Plant / Effect,1,100 / 300,,,,,,
Rise of Destiny,,Rare,Dekoichi the Battlechanted Locomotive,,Monster,DARK,Machine / Flip / Effect,4,1400 / 1000,,,,,,
Dimension of Chaos,,Rare,D/D/D Oblivion King Abyss Ragnarok,,Monster,DARK,Fiend / Pendulum / Effect,8,2200 / 3000,,,,,,
Dark Neostorm,,Ultra Rare,Firewall eXceed Dragon,,Monster,DARK,Cyberse / Xyz / Effect,,2500 / 2000,4,,,,,
Return of the Duelist,,Common,Chronomaly Golden Jet,,Monster,LIGHT,Machine / Effect,4,1300 / 1400,,,,,,
Extreme Victory,,Common,Reboot,,Spell,,,,,,,,,,
Raging Battle,,Rare,Calming Magic,,Spell,,,,,,,,,,
Stardust Overdrive,,Common,Woodland Archer,,Monster,EARTH,Beast-Warrior / Effect,3,1400 / 1300,,,,,,
Dimension Force,,Super Rare,Heroic Champion - Claivesolish,,Monster,LIGHT,Warrior / Xyz / Effect,,2500 / 2000,4,,,,,
The New Challengers,,Secret Rare,Number 99: Utopic Dragon,,Monster,LIGHT,Dragon / Xyz / Effect,,4000 / 2000,10,,,,,
Dark Crisis,,Short Print,Maju Garzett,,Monster,DARK,Fiend / Effect,7,? / 0,,,,,,
Stardust Overdrive,,Super Rare,Koa'ki Meiru Rooklord,,Monster,EARTH,Warrior / Effect,7,2800 / 2200,,,,,,
Stardust Overdrive,,Super Rare,Knight of the Red Lotus,,Monster,FIRE,Warrior / Effect,6,2100 / 1800,,,,,,
Crossroads of Chaos,,Common,Gadget Hauler,,Monster,EARTH,Machine / Effect,6,1300 / 0,,,,,,
Shadow of Infinity,,Common,Attack Reflector Unit,,Trap,,,,,,,,,,
Phantom Darkness,,Common,Rainbow Path,,Trap,,,,,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Sacred Sword of Seven Stars,,Spell,,,,,,,,,,
Raging Battle,,Rare,Iron Core of Koa'ki Meiru,,Spell,,,,,,,,,,
Galactic Overlord,,Common,Berserk Scales,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Forbidden Apocrypha,,Trap,,,,,,,,,,
Rising Rampage,,Rare,Fists of the Unrivaled Tenyi,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Petit Dragon,,Monster,WIND,Dragon,2,600 / 700,,,,,,
Duelist Revolution,,Super Rare,Super Rush Recklessly,,Trap,,,,,,,,,,
Soul of the Duelist,,Rare,Ultimate Insect LV1,,Monster,WIND,Insect / Effect,1,0 / 0,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Inzektor Giga-Mantis,,Monster,DARK,Insect / Effect,6,2400 / 0,,,,,,
Spell Ruler,,Short Print,Rising Air Current,,Spell,,,,,,,,,,
Light of Destruction,,Rare,Jinzo - Returner,,Monster,DARK,Machine / Effect,3,600 / 1400,,,,,,
Dark Crisis,,Common,Final Attack Orders,,Trap,,,,,,,,,,
Dark Crisis,,Common,Battle Footballer,,Monster,FIRE,Machine,4,1000 / 2100,,,,,,
Code of the Duelist,,Super Rare,Ib the World Chalice Priestess,,Monster,WATER,Spellcaster / Link / Effect,,,,,,,,
Absolute Powerforce,,Common,Variety Comes Out,,Spell,,,,,,,,,,
Soul Fusion,,Secret Rare,Condemned Witch,,Monster,DARK,Fairy / Effect,4,100 / 2000,,,,,,
Breakers of Shadow,,Rare,Goyo King,,Monster,EARTH,Warrior / Synchro / Effect,8,2800 / 2000,,,,,,
The Lost Millennium,,Super Rare,Ultimate Insect LV7,,Monster,WIND,Insect / Effect,7,2600 / 1200,,,,,,
Raging Tempest,,Common,Symphonic Warrior Guitaar,,Monster,WIND,Machine / Pendulum / Effect,3,1500 / 100,,,,,,
Stardust Overdrive,,Common,Iron Core Armor,,Spell,,,,,,,,,,
Crossed Souls,,Rare,Raidraptor - Revolution Falcon,,Monster,DARK,Winged Beast / Xyz / Effect,,2000 / 3000,6,,,,,
Judgment of the Light,,Common,Kujakujaku,,Monster,WIND,Winged Beast / Effect,3,1200 / 900,,,,,,
